City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Eureka,US,2020-09-01 03:38:30,40.8,-124.16,62.01,78,0,2.04
106,Kununurra,AU,2020-09-01 03:38:31,-15.77,128.73,95.0,26,73,11.41
107,Gogrial,SS,2020-09-01 03:38:31,8.53,28.1,71.04,89,87,1.99
108,Mokhsogollokh,RU,2020-09-01 03:38:31,61.47,128.92,70.21,43,8,3.2
109,Barrow,US,2020-09-01 03:36:53,71.29,-156.79,37.4,86,75,21.92
110,Kruisfontein,ZA,2020-09-01 03:38:32,-34.0,24.73,57.99,71,100,5.99
111,Majene,ID,2020-09-01 03:38:32,-3.54,118.97,77.63,88,100,7.07
112,Maceio,BR,2020-09-01 03:35:09,-9.67,-35.74,73.4,83,40,4.7
113,Luangwa,ZM,2020-09-01 03:38:32,-15.62,30.42,71.2,71,8,12.12
114,Ponta Do Sol,PT,2020-09-01 03:38:33,32.67,-17.1,69.8,68,20,17.22
115,Zhanaozen,KZ,2020-09-01 03:38:33,43.3,52.8,78.03,32,0,7.65
116,Harper,LR,2020-09-01 03:38:33,4.38,-7.72,75.24,82,100,8.88
117,Isangel,VU,2020-09-01 03:34:05,-19.55,169.27,78.8,65,20,9.17
118,Vardo,NO,2020-09-01 03:38:34,70.37,31.11,42.8,70,100,10.29
119,Arraial Do Cabo,BR,2020-09-01 03:38:34,-22.97,-42.03,72.28,85,100,10.67
120,Bluff,NZ,2020-09-01 03:38:34,-46.6,168.33,45.0,72,56,11.01
121,Vostok,RU,2020-09-01 03:38:34,46.49,135.88,71.42,50,47,5.08
122,Alassio,IT,2020-09-01 03:38:35,44.0,8.17,66.2,82,5,3.36
123,San Patricio,MX,2020-09-01 03:38:35,19.22,-104.7,78.06,83,100,2.39
124,Yumen,CN,2020-09-01 03:38:35,40.28,97.2,75.83,17,0,11.05
125,Ossora,RU,2020-09-01 03:38:36,59.24,163.07,56.43,53,100,15.46
126,Longyearbyen,SJ,2020-09-01 03:38:36,78.22,15.64,39.2,80,75,19.46
127,Chuy,UY,2020-09-01 03:38:36,-33.7,-53.46,45.66,77,100,6.89
128,Progreso,MX,2020-09-01 03:38:36,21.28,-89.67,86.0,75,0,11.52
129,Keti Bandar,PK,2020-09-01 03:38:37,24.14,67.45,82.62,73,78,14.65
130,Tasiilaq,GL,2020-09-01 03:38:37,65.61,-37.64,39.2,93,100,2.73
131,Latung,PH,2020-09-01 03:38:37,5.5,120.88,84.56,73,98,8.19
132,Georgetown,MY,2020-09-01 03:38:38,5.41,100.34,87.8,66,20,10.29
133,Birao,CF,2020-09-01 03:38:38,10.28,22.79,69.6,94,64,3.04
134,Fare,PF,2020-09-01 03:38:38,-16.7,-151.02,78.37,74,21,23.15
135,Broken Hill,AU,2020-09-01 03:34:59,-31.95,141.43,62.6,27,15,10.29
136,Rio Gallegos,AR,2020-09-01 03:36:32,-51.62,-69.22,32.0,92,0,11.41
137,Butterworth,MY,2020-09-01 03:38:39,5.4,100.36,87.8,66,20,10.29
138,Warmbad,NA,2020-09-01 03:38:39,-28.45,18.73,41.32,51,0,6.31
139,Flinders,AU,2020-09-01 03:38:39,-34.58,150.86,61.0,62,26,10.0
140,Tiksi,RU,2020-09-01 03:38:40,71.69,128.87,45.14,75,0,13.13
141,Meulaboh,ID,2020-09-01 03:38:40,4.14,96.13,82.94,75,88,11.23
142,Kalmunai,LK,2020-09-01 03:38:40,7.42,81.82,86.59,62,92,3.11
143,Xichang,CN,2020-09-01 03:38:40,27.9,102.26,77.68,57,13,3.18
144,Bristol,US,2020-09-01 03:38:41,41.83,-71.17,64.99,93,1,4.07
145,Puro,PH,2020-09-01 03:38:41,12.48,123.38,87.13,65,99,8.5
146,Sao Joao Da Barra,BR,2020-09-01 03:38:41,-21.64,-41.05,72.73,81,97,8.84
147,Solikamsk,RU,2020-09-01 03:38:41,59.62,56.77,52.93,95,100,6.76
148,Shimoda,JP,2020-09-01 03:38:42,34.67,138.95,80.6,78,75,16.11
149,Hofn,IS,2020-09-01 03:38:42,64.25,-15.21,51.35,93,81,12.8
150,East London,ZA,2020-09-01 03:38:42,-33.02,27.91,59.63,69,98,14.12
151,Katsuura,JP,2020-09-01 03:38:43,35.13,140.3,82.99,66,22,3.0
152,Talnakh,RU,2020-09-01 03:38:43,69.49,88.4,44.6,100,90,8.95
153,Namibe,AO,2020-09-01 03:38:43,-15.2,12.15,58.6,83,0,0.27
154,Cap Malheureux,MU,2020-09-01 03:38:43,-19.98,57.61,72.0,73,7,10.0
155,Kavaratti,IN,2020-09-01 03:38:44,10.57,72.64,82.4,78,40,9.17
156,Cabo San Lucas,MX,2020-09-01 03:38:44,22.89,-109.91,84.0,70,30,3.0
157,Sechura,PE,2020-09-01 03:38:44,-5.56,-80.82,62.65,80,100,15.77
158,Batamshinskiy,KZ,2020-09-01 03:38:44,50.56,58.27,66.2,59,0,1.23
159,Carnarvon,AU,2020-09-01 03:38:45,-24.87,113.63,69.8,64,40,19.46
160,Walvis Bay,NA,2020-09-01 03:38:45,-22.96,14.51,46.99,93,0,6.93
161,Bowen,AU,2020-09-01 03:38:45,-20.02,148.23,77.0,53,0,16.11
162,Mogadishu,SO,2020-09-01 03:38:45,2.04,45.34,78.06,82,23,17.85
163,Portales,US,2020-09-01 03:38:46,34.19,-103.33,69.01,55,1,5.3
164,Reutte,AT,2020-09-01 03:38:46,47.48,10.72,50.0,94,100,1.01
165,Saskylakh,RU,2020-09-01 03:38:46,71.92,114.08,49.19,59,100,9.04
166,Itoman,JP,2020-09-01 03:38:47,26.12,127.67,80.6,94,75,47.2
